Internalname,Serial,EngGamename,ChiGamename
F-ZERO ADVAN,AGB-AFZJ-JPN,F-Zero (J),最高时速赛车 F-Zero(JP)(Nintendo)
SUPER MARIOA,AGB-AMAJ-JPN,Super Mario Advance (J),超级马里奥A Super Mario Advance(JP)(Nintendo)
ROCKMAN_EXE,AGB-AREJ-JPN,Battle Network RockMan EXE (J),洛克人-网络战斗EXE1 Battle Network Rockman EXE(JP)(Capcom)
KURURIN,AGB-AKRJ-JPN,Kuru Kuru Kururin (J),滚滚棒 Kurukuru Kururin(JP)(Nintendo)
MR. DRILLER2,AGB-AD2J-JPN,Mr. Driller 2 (J),钻地先生2 Mr. Driller 2(JP)(Namco)
CHUCHUROCKET,AGB-ACRJ-JPN,Chu Chu Rocket! (J),咕噜咕噜火箭! Chu Chu Rocket!(JP)(M5)(Sega)
DRACULA AGB1,AGB-AAMJ-JPN,Akumajou Dracula - Circle of the Moon (J),恶魔城-月之轮回 Akumajou Dracula – Circle of the Moon(JP)(Konami)
ADVANCE GTA,AGB-AG7J-JPN,Advance GTA (J),GTA职业概念赛车1 Advance GTA(JP)(MTO)
WAIWAI,AGB-AKWJ-JPN,Konami Wai Wai Racing Advance (J),科纳米哇哇赛车 Konami Wai Wai Racing Advance(JP)(Konami)
DODGEBALL F,AGB-ADFJ-JPN,Bakunetsu Dodge Ball Fighters (J),超级躲避球A Bakunetsu Dodge Ball Fighters(JP)(Atlus)
PINOBEE,AGB-APBJ-JPN,Pinobee no Daibouken (J),匹诺比之大冒险 Pinobee no Daibouken(JP)(Hudson)
PAWAPOKE3,AGB-AP3J-JPN,Power Pro Kun Pocket 3 (J),实况Q版口袋棒球3 Power Pro Kun Pocket 3(JP)(Konami)
NAPOLEON,AGB-ANPJ-JPN,Napoleon (J),拿破仑 Napoleon(JP)(Nintendo)
GT-CHAMP,AGB-AGTJ-JPN,Zen-Nippon GT Senshuken (J),全日本顶级GT锦标赛车 Zen-Nippon GT Senshuken(JP)(Kemco)
FPA,AGB-AFPJ-JPN,Fire Pro Wrestling A (J),火炎职业摔跤A Fire Pro Wrestling A(JP)(Spike)
TWEETY PARTY,AGB-AMJJ-JPN,Tweety to Hearty Party (J),托蒂的欢乐派对之不可思议的宝石 Tweety no Hearty Party(JP)(Kemco)
GOLFMASTER,AGB-AGRJ-JPN,JGTO Golf Master - Japan Tour Golf Game (J),高尔夫大师 JGTO Kounin Golf Master – Japan Golf Tour Game(JP)(Konami)
WINNINGPOST,AGB-AWPJ-JPN,Winning Post (J),冠军赛马 Winning Post(JP)(Koei)
SILENT HILL,AGB-ASHJ-JPN,Play Novel - Silent Hill (J),寂静岭 Silent Hill – Play Novel(JP)(Konami)
YU-GI-OH DDM,AGB-AYDJ-JPN,Yu-Gi-Oh! Dungeon Dice Monsters (J),游戏王-地牢方块妖怪 Yu-Gi-Oh! Dungeon Dice Monsters(JP)(Konami)
