EngGamename,Serial,crc
10-Pin Bowling (Europe),CGB-AXPP-EUR,5449CAC0
10-Pin Bowling (USA) (Rumble Version),CGB-VP9E-USA,720C7023
102 Dalmatas - Cachorros Al Rescate (Spain),CGB-B99P-EUR,F2128908
102 Dalmatiens a la Rescousse| Les (France),CGB-B99P-EUR,E84191A8
102 Dalmatiner (Germany),CGB-B99P-EUR,725A3483
3-D Ultra Pinball - Thrillride (USA) (Rumble Version),CGB-VUPE-USA,1766E558
4x4 World Trophy (Europe) (En|Fr|De|Es|It),DMG-AQ3P,F62AD75E
Adventures of Elmo in Grouchland| The (Europe),DMG-AELP-EUR,41228EE7
Adventures of Elmo in Grouchland| The (USA),DMG-AELE-USA,2C4C2A5F
Adventures of the Smurfs| The (Europe) (En|Fr|De|Es|It|Nl),CGB-BSFP-UKV-1,D0D3DFED
AirForce Delta (Japan),CGB-BDLJ-JPN,5DFFF5E2
AirForce Delta (USA),CGB-BDLE-USA,FF31CC92
Aladdin (Europe) (En|Fr|De|Es|It|Nl),CGB-BADP-EUR,446573CD
Aladdin (USA),CGB-BADE-USA,A91EC059
Alfred's Adventure (Europe) (En|Fr|De|Es|It),CGB-BAAP-EUR,6F9EF15E
Alice in Wonderland (Europe) (En|Fr|De|Es),CGB-AIWP-EUR,85545D81
Alice in Wonderland (USA),CGB-AIWE-USA,3199F65F
All Star Tennis 2000 (Europe),DMG-AZTP-EUR,952B94E5
All-Star Baseball 2001 (USA),CGB-BASE-USA,BC562466
Alone in the Dark - The New Nightmare (Europe) (En|Fr|De|Es|It|Nl),CGB-BIDP-EUR,7FF2042F
Alone in the Dark - The New Nightmare (USA) (En|Fr|Es),CGB-BIDE-USA,C145C036
Animal Breeder 3 (Japan) (SGB Enhanced),DMG-AA3J-JPN,C62A4C30
Animal Breeder 4 (Japan),CGB-A4AJ-JPN,83D838C3
Animastar GB (Japan),CGB-BNMJ-JPN,B14920F0
Animorphs (Europe) (En|Fr|De|Es|It),CGB-BAMP-EUR,7FD46DA1
Animorphs (USA),CGB-BAME-USA,B4F293CC
Anpfiff - Der RTL Fussball-Manager (Germany),CGB-BFB,B54D264A
Antz (Europe) (En|Fr|De|Es|It|Nl),DMG-ANXP,4839E0C1
Antz (USA) (En|Fr|Es),DMG-ANXE-USA,DC0BE439
Antz Racing (Europe) (En|Fr|De|Es|It|Nl),CGB-BAZP-EUR,F625A959
Antz Racing (USA) (En|Fr|De|Es|It|Nl),CGB-BAZE-USA,DFDF90C0
Aqualife (Japan) (SGB Enhanced),DMG-AALJ-JPN,E243FEB4
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced),DMG-BRBJ-JPN,8EE043EA
Armada - FX Racers (USA),CGB-BARE-USA,D952CBAB
Arthur's Absolutely Fun Day! (USA),CGB-BFDE-USA,F03599A3
Asterix & Obelix (Europe) (En|Fr|De|Es),CGB-AOLP,6628CDEE
Asterix & Obelix vs Caesar (Europe) (En|Fr|De|Es|Nl),DMG-BAOP,71043D76
Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan),CGB-BPUJ-JPN,476EDE93
Austin Powers - Oh| Behave! (Europe) (En|Fr|De|Es|It),CGB-BAPP-EUR,BF99F8CB
Austin Powers - Oh| Behave! (USA),CGB-BAPE-USA,BB89190E
Austin Powers - Welcome to my Underground Lair! (USA),CGB-BEAE-USA,ABA42B78
Aventures de Buzz l'Eclair| Les (France),CGB-BUZP-EUR,841674B0
Azarashi Sentai Inazuma - Dokidoki Daisakusen! (Japan),CGB-BOAJ-JPN,98F63BD4
Azure Dreams (Europe) (En|Fr|De) (SGB Enhanced),DMG-AAYP-EUR,F9CCAB09
Azure Dreams (USA) (SGB Enhanced),DMG-AAZE-USA,71D52876
B-Daman Bakugaiden - Victory e no Michi (Japan) (SGB Enhanced),DMG-AOKJ-JPN,DDCE76D6
B-Daman Bakugaiden V - Final Mega Tune (Japan),CGB-AJRJ-JPN,547A9A69
Babe and Friends (Europe) (En|Fr|De|Es|It),DMG-AVAP,B3681854
Babe and Friends (USA),DMG-AVAE-USA,E25407F1
Baby Felix - Halloween (Europe) (En|Fr|De|Es|It|Nl),CGB-BFHP-EUR,7DED5C71
Backgammon (Europe) (En|Fr|De|Es),DMG-AAKP-EUR,D33D6F7B
Backgammon (Japan),DMG-AAKJ-JPN,712A49B3
Bad Badtz-Maru Robo Battle (Japan),CGB-BBRJ-JPN,4DD29B09
Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced),DMG-A4RJ-JPN,5C95D5A2
Bakusou Dekotora Densetsu GB Special - Otoko Dokyou no Tenka Touitsu (Japan),CGB-BDBJ-JPN,92C8B9B5
Bakusou Senki Metal Walker GB - Koutetsu no Yuujou (Japan),DMG-AUEJ-JPN,D514C9A0
Bakuten Shoot Beyblade (Japan),CGB-BB3J-JPN,BC306EA4
Ballistic (USA),DMG-ALIE-USA,A9050F72
Balloon Fight GB (Japan) (NP| SGB Enhanced),DMG-BSJ-JPN,D2AF64CE
Barbie - Aventura Submarina (Spain),DMG-ADYP-EUR,0CF2B7F2
Barbie - Avventure nell'Oceano (Italy),DMG-ADYP-EUR,59645A18
Barbie - Chasse au Tresor Sous-Marine (France),DMG-ADYP-EUR,4068E981
Barbie - Diepzee Avontuur (Netherlands),DMG-ADYP-EUR,39C6B8DF
Barbie - Magic Genie Adventure (USA),CGB-BMCE-USA,57F1A202
Barbie - Meeres Abenteuer (Germany),DMG-ADYP-EUR,5E46D64A
Barbie - Ocean Discovery (Europe),DMG-ADYP-EUR,FDC8E7F1
Barbie - Ocean Discovery (USA),DMG-ADYE-USA,746936C6
Barbie - Pet Rescue (Europe) (En|Fr|De|Es|It),CGB-BPEP-EUR,48E638CE
Barbie - Pet Rescue (USA),CGB-BPEE-USA,1FC972CC
Barcode Taisen Bardigun (Japan) (SGB Enhanced),DMG-ABEJ-JPN,DDFCF4B7
Batman Beyond - Return of the Joker (USA),CGB-BTKE-USA,B32F4586
Batman of the Future - Return of the Joker (Europe) (En|Fr|De),CGB-BTKP-EUR,F9D5B399
Battle Fishers (Japan),CGB-BBAJ-JPN,C99CF3C5
BattleTanx (Europe) (En|Fr|De),CGB-AVNP,2FCECB70
BattleTanx (USA),CGB-AVNE-USA,4431F8E7
Beach'n Ball (Europe) (En|Fr|De|Es|It),CGB-BVBP-EUR,82D1A721
Bear in the Big Blue House (Europe) (En|Fr|De|Es|It|Nl),CGB-BBNP-EUR,48C99939
Bear in the Big Blue House (USA) (En|Fr|De|Es|It|Nl),CGB-BB7E-USA,851C8710
Beatmania GB (Japan) (SGB Enhanced),DMG-AOOJ-JPN,0D9CB195
Beatmania GB - Gotcha Mix 2 (Japan),CGB-B3GJ-JPN,B92A6D16
Beatmania GB2 - Gotcha Mix (Japan) (SGB Enhanced),DMG-A2GJ-JPN,59BEB372
Beauty and the Beast - A Board Game Adventure (Europe) (En|Fr|De|Es|It) (SGB Enhanced),DMG-AVUP-EUR,E4C410F0
Beauty and the Beast - A Board Game Adventure (USA) (SGB Enhanced),DMG-AVUE-USA,6DE1D581
Benjamin Bluemchen - Ein verrueckter Tag im Zoo (Germany),CGB-BB5D-NOE,51972995
Beyblade - Fighting Tournament (Japan),CGB-BBVJ-JPN,1EC9DB95
Bibi und Tina - Fohlen Felix in Gefahr (Germany),CGB-BFED-NOE,8874ACD4
Bikkuriman 2000 - Charging Card GB (Japan) (SGB Enhanced),DMG-BC2J-JPN,5BE2517C
Biohazard Gaiden (Japan),CGB-BIOJ-JPN,C2531D36
Black Onyx| The (Japan),CGB-BBOJ-JPN,582FE338
Blue's Clues - Blue's Alphabet Book (USA),CGB-BALE-USA,748D1345
Boarder Zone (USA),CGB-AXWE-USA,A7152869
Bob the Builder - Fix it Fun! (Europe) (En|Fr|De|Es|Nl),CGB-BOBP-EUR,EA33FE3D
Bob the Builder - Fix it Fun! (Europe) (En|Fr|It),CGB-BOBP-EUR,A8EBD88B
Bob the Builder - Fix it Fun! (Europe) (En|Sv|No|Da|Fi),CGB-BOBP-EUR,F319E823
Bob the Builder - Fix it Fun! (USA),CGB-BOBE-USA,93FA37BD
Boku no Camp-jou (Japan),CGB-BDPJ-JPN,C87120B5
Bokujou Monogatari GB2 (Japan),DMG-A37J-JPN,EE993302
Bokujou Monogatari GB3 - Boy Meets Girl (Japan),CGB-BWAJ-JPN,3A18B41F
Bomber Man Max - Hikari no Yuusha (Japan),CGB-A8BJ-JPN,7A44CE88
Bomber Man Max - Yami no Senshi (Japan),CGB-A7BJ-JPN,48B60E8E
Bomberman Max - Blue Champion (USA),CGB-A8BE-USA,5CCB66CF
Bomberman Max - Red Challenger (USA),CGB-A7BE-USA,4853F586
Bomberman Quest (Europe) (En|Fr|De) (SGB Enhanced),DMG-AQVP-EUR,5A9B9AE6
Bomberman Quest (USA) (SGB Enhanced),DMG-AVQE-USA,A089C656
Brave Saga - Shinshou Astaria (Japan),CGB-BBSJ-JPN,5D5D294A
Bug's Life| A (Europe) (SGB Enhanced),DMG-APXP-EUR,DB93E0F6
Bug's Life| A (USA) (SGB Enhanced),DMG-APXE-USA,8360047A
Bugs Bunny & Lola Bunny - Operation Carrots (Europe) (En|Fr|De|Es|It|Nl),DMG-ABLP-EUR,F0CC407F
Bugs Bunny - Crazy Castle 3 (Japan),DMG-AB6J-JPN,AE839CAE
Bugs Bunny et le Chateau des Catastrophes (France),CGB-AO4P-EUU,6DA8E6EB
Bugs Bunny in Crazy Castle 4 (Europe),CGB-AO4P-EUU,53155E60
Bugs Bunny in Crazy Castle 4 (Japan),CGB-AO4J-JPN,D6387EAA
Bugs Bunny in Crazy Castle 4 (USA),CGB-AO4E-USA,98DBFFE0
Burai Senshi Color (Japan),CGB-AZYJ-JPN,E52FBD12
Burger Burger Pocket (Japan) (SGB Enhanced),DMG-ABNJ-JPN,1ABCEDBE
Burger Paradise International (Japan),CGB-AEYJ-JPN,9092B0EB
Cannon Fodder (Europe) (En|Fr|De|Es|It),CGB-BCFP-EUR,824C3BF3
Cannon Fodder (USA) (En|Fr|De|Es|It),CGB-BCFE-USA,26F8E1A0
Captain Buzz Lightyear - Star Command (Germany),CGB-BUZP-EUR,F06D296C
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan),DMG-AM7J-JPN,89BA58ED
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev A),DMG-AM7J-JPN,43F28E22
Cardcaptor Sakura - Itsumo Sakura-chan to Issho (Japan) (Rev B),DMG-AM7J-JPN,7243E258
Cardcaptor Sakura - Tomoeda Shougakkou Daiundoukai (Japan),CGB-BS7J-JPN,F78F7998
Carl Lewis Athletics 2000 (Europe) (En|Fr|De|Es|It|Nl),CGB-BCLP-EUR,15430979
Carmageddon - Carpocalypse Now (Germany),CGB-AKWD-NOE,B447BC06
